Coordinate,Beta,Error
x1y1,2.121236e-14,6.453516e-20
x1y2,1.986998e-14,4.737150e-20
x1y3,2.096633e-14,6.080839e-20
x1y4,2.062818e-14,5.622259e-20
x1y5,2.208229e-14,6.164513e-20
x2y1,2.074282e-14,6.199873e-20
x2y2,2.064071e-14,5.935918e-20
x2y3,2.312098e-14,7.037381e-20
x2y4,2.232632e-14,6.628907e-20
x2y5,2.222659e-14,6.875223e-20
x3y1,2.036837e-14,5.020015e-20
x3y2,2.174857e-14,6.090426e-20
x3y3,2.048345e-14,6.041125e-20
x3y4,2.137074e-14,6.012035e-20
x3y5,2.212623e-14,7.021418e-20
x4y1,2.198000e-14,6.294023e-20
x4y2,2.102857e-14,6.002418e-20
x4y3,2.227049e-14,6.924822e-20
x4y4,2.108087e-14,5.567665e-20
x4y5,2.254457e-14,6.565607e-20
x5y1,2.099128e-14,5.074632e-20
x5y2,2.048846e-14,5.347851e-20
x5y3,2.235224e-14,7.065886e-20
x5y4,2.268802e-14,7.178588e-20
