Coordinate,Energy,Error
x1y1,3.480043e+02,1.793543e+00
x1y2,3.451697e+02,1.922003e+00
x1y3,3.438458e+02,2.154143e+00
x1y4,3.547336e+02,1.766656e+00
x1y5,3.488241e+02,1.870825e+00
x2y1,3.491144e+02,1.670108e+00
x2y2,3.487135e+02,2.183238e+00
x2y3,3.415943e+02,1.699255e+00
x2y4,3.446143e+02,1.688573e+00
x2y5,3.431848e+02,1.879184e+00
x3y1,3.442963e+02,1.947675e+00
x3y2,3.425403e+02,1.795287e+00
x3y3,3.456735e+02,1.812971e+00
x3y4,3.473921e+02,1.814535e+00
x3y5,3.412825e+02,1.712377e+00
x4y1,3.415046e+02,2.074021e+00
x4y2,3.394015e+02,1.723212e+00
x4y3,3.343421e+02,1.804594e+00
x4y4,3.483934e+02,1.817130e+00
x4y5,3.387198e+02,1.696959e+00
x5y1,3.483442e+02,1.755557e+00
x5y2,3.509972e+02,1.775087e+00
x5y3,3.411043e+02,1.905088e+00
x5y4,3.468925e+02,1.839760e+00
x5y5,3.333707e+02,1.679725e+00
